Date,VOO,AAPL,SMH,TSM,AMD,BOTZ,NLR,MSFT,LMT,RTX,GD,NOC,AMZN,GOOG,TSLA,JPM,META,ASML,V,GLD,SLV,XLE,EWS,EWP,VXUS,NEE,JNJ,UNH,PG,COST,WELL,SCCO,RIO
2016-09-14,-0.0006161953984321622,0.03538652022296951,0.008387534617426473,0.004563126526765604,0.05226484367549422,0.0,0.0018758197410371213,-0.004776449493514079,0.0,-0.006450220804199547,-0.005112578712639482,0.0021598818879315917,0.00010516596472487372,0.0036855810551412738,0.0018362791436163928,-0.001953942891358862,0.0044020608997594746,0.002359223474216021,-0.004884722329362323,0.0034194855282367875,0.005019528781709637,-0.011845367303660148,0.003809419056702179,-0.003738267777044335,0.0008714548811084022,0.004607347539654416,0.0021254190123198846,-0.0019408075956311999,-0.00045909470727434343,-0.00033229111764609964,0.006156957328385948,0.0055558477056745215,0.017449331120540812
2016-09-15,0.010274419623342856,0.03399869494446062,0.024799986274010477,0.0195663114984288,-0.0033112551411966784,0.0,0.0037444045676173765,0.016530372481330824,0.007076309072146847,0.010328503876096962,0.015550730291645776,0.012355919542620164,0.011299591339365866,0.012157503395130664,0.020416452841336197,0.003614295628139308,0.004539537978399899,0.016277654707082867,0.006381570693733352,-0.006419381491795106,0.0011099032883239435,0.012431603254874801,0.011385161982407244,0.0056287340249590034,0.009793233958296232,0.00515975278344416,0.006533206705747752,0.014361632499980903,0.012067199639412607,0.013140004669778271,0.0009518390112379649,0.00276228806137091,0.005607201407014761
2016-09-16,-0.003915327454830031,-0.005624416031135948,0.0004505938819812094,-0.009252582518072927,0.0049834235719934394,-0.004064817147160671,0.003108906825993074,0.0010494999164321062,-0.0068592949012735716,-0.02541137555735362,-0.009266341569509673,-0.0018450489855380559,0.011472093767138869,-0.0037316958430178016,0.02484780383791363,-0.01230469291369396,0.005609779140445026,-0.013894217795173636,0.0007312174860827358,-0.00247272219188599,-0.00997784346124131,-0.00807391955698522,-0.005628499611409765,-0.0194031846821483,-0.01056050853621704,0.004807553130889097,-0.003203184092764766,0.021090042164454204,-0.00011359843247715773,-0.002095644600599633,-0.005705750626157302,-0.0031481716453879427,-0.01935076120429524
2016-09-19,0.0003061238265404942,-0.011660162170079924,0.0034555346685891664,0.03528178752026956,0.018181760861049723,0.009523779277362365,0.006611611752999957,-0.005589820449233396,0.014445078910001463,0.0033967263106646772,0.009419093724657213,0.0007582538698596153,-0.004392889723924931,-0.004135737423291541,0.00457645297210707,0.005621164024340208,-0.0032541907595375896,0.011154518582418893,0.005361131557229504,0.00207901920123299,0.01903696198032767,-0.0005928267295485234,0.00849033361069873,0.004185675768452857,0.006752449585871068,0.011514503844675117,-0.0049893311375618365,-0.005705554147388159,0.003634546429882368,-0.0036759379122320857,0.0008197317837010942,0.0067113083038297106,0.030100490380285727
2016-09-20,0.00010213163308492312,-8.804327561773295e-05,-0.0037428199086571023,-0.0010024271772842708,0.001623413819731967,0.008759970294521358,0.0075943864839564945,-0.0021079094516595065,-0.0016603242681376695,-0.0019911908854627347,-0.0020371746557370507,0.0044988946409387776,0.006605612482086798,0.0074569597403535415,-0.008238786856348712,0.004079132849241551,-7.781907674297983e-05,0.014902411166814122,-0.0003629972220065003,0.0009575705942728163,0.003846136917024623,-0.007268950062528479,0.0028067587487152768,-0.0011367004282242243,0.0030289762034094725,0.002645352768955167,0.0024646944788435654,-0.0015250844272042263,0.0023761853498838192,0.002503190620537943,-0.0009558296090806939,0.004313828911779671,0.0035712535493170883
2016-09-21,0.011226402707670724,-0.00017602867998078864,0.013826226653378848,0.02006697985625161,0.019448927726944287,0.0,0.018537470702199244,0.01672243371952642,0.013888575064109343,0.017158603260327476,0.008165954053354074,0.017632322586873306,0.012201633012272062,0.006235510942656619,0.0028341798567572685,0.005717890547760618,0.010105790775677415,0.017448404819264907,0.00897161559526749,0.014588601451239303,0.03174602677470584,0.023161989443388542,0.018656742612716215,0.02124425853768308,0.019628889881810663,0.022148116958338182,0.008139003953504087,0.017749408116600973,-0.008805518603959395,0.0034830829894594295,0.015851429234698955,0.021475929990560694,0.03655758324406566
2016-09-22,0.0060045170255869085,0.009423192115227463,0.004743572180056166,0.005245945688672871,0.01271858890162636,0.023380122685611182,0.008399798697325878,0.0010386244437421421,0.011484059210245201,0.010200221324438541,0.011495323768469845,0.002965195239265528,0.018942971304031886,0.014158442440524777,0.005896172409194822,0.008228778424232308,0.001077349377313741,0.019491897897879973,0.0016819562856340564,0.00235721740921524,0.0026524793659790102,0.0011682380865094544,-0.004578694624076007,0.010401260516134325,0.009943168558097293,0.0014860168998922507,0.004625285549769487,0.008075876870551335,0.013553373252046308,0.0029469783639846092,0.023540485932167732,0.004205104910520507,0.014981407540140879
2016-09-23,-0.005366997108651295,-0.01666368218083103,-0.01165519512332247,-0.017612593514525487,0.028257505244834613,-0.003263646712836854,-0.007536589202004729,-0.0067448313392567405,-0.0031627861693905857,-0.004271830529962162,-0.006780187395585391,0.002586629148567443,0.001304780986036036,-0.0003939770369624229,0.004941130603694166,-0.002077634751825319,-0.016297603937509786,-0.0020222319392986243,-0.009836666958155438,0.0006271210413582029,-0.01164017554470198,-0.013274757944559124,-0.011959657209838492,-0.01213249368731495,-0.010473599953762736,-0.00999749564087593,-0.0054412081805967905,-0.003757274853972481,-0.013821669025701588,-0.004048623041895794,0.004074397895365012,-0.011800490259664675,-0.0033825521972127293
2016-09-26,-0.007968048147653839,0.0015082146646612227,-0.009255537676679304,-0.009295988645926623,-0.03511450570624819,-0.01565163168281436,-0.0011989976913627798,-0.009228487177462275,-0.0012611331606606768,-0.0032174890898734043,0.0003901489625661725,-0.0002305694320406948,-0.00817867337251732,-0.01612658059815253,0.007423489184726462,-0.021858637032410866,-0.005079686900966163,0.0018422369520352255,-0.008844208448393287,-0.0007833801247610905,-0.014453985725517371,-0.004435547876882051,-0.0037244945328848145,-0.010420519594679822,-0.009314077647126329,-0.004102581069400646,-0.008669141443794603,-0.005622339165637369,0.0010258807714433882,-0.008785408366722258,0.005235196188691393,-0.007318972503142174,-0.0074052793732409805
2016-09-27,0.006100406820959359,0.0018603003677486463,0.016423333025861853,0.018766830867513296,0.0348100924392567,0.011908573526639099,0.0038013163266019667,0.01845323312823144,0.001058835983485995,0.001173913734376697,0.009163238892509584,0.00483898278244288,0.021209766342872083,0.011366514222275859,-0.015216031256459872,0.008817123632840485,0.01083974503116436,0.007814744407477425,0.004278261936234928,-0.007291260548213385,-0.013036380940106396,-0.006682125256197935,0.008411457972297365,-0.0007522303512959017,0.006196162090351676,0.00443616364665167,0.012226127205322124,0.007658075935192521,0.005804763317490691,-0.004893910502694387,-0.01666631353388448,-0.0019405434222302675,0.0018653325700974666
